RazaoSocial;UF;TotalDespesas;MediaPorTrimestre;DesvioPadrao;QuantidadeTrimestres
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO;SP;178123533.01;59374511.00;30349356.46;3
ASSOCIAÇÃO SÃO FRANCISCO VIDA;SP;177665313.62;59221771.21;32829034.11;3
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO;BA;175852571.21;58617523.74;28217553.85;3
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.;MG;174966172.18;58322057.39;32279763.26;3
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.;RJ;174817471.41;58272490.47;31689236.67;3
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO;SP;174461997.56;58153999.19;32698531.78;3
UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;172998656.12;57666218.71;28979409.07;3
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15);SP;172371486.67;57457162.22;29779083.33;3
SAÚDE BRB - CAIXA DE ASSISTÊNCIA;DF;171799947.76;57266649.25;30689211.77;3
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO;RJ;170667850.37;56889283.46;31525961.36;3
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;RJ;170379372.68;56793124.23;27843581.15;3
CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO;GO;170134268.14;56711422.71;27542354.74;3
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;169658908.35;56552969.45;29159560.25;3
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO;SP;164779634.99;54926545.00;31255501.93;3
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;BA;163756707.67;54585569.22;28381149.57;3
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO;RJ;163493478.53;54497826.18;29182758.09;3
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO;PR;162492132.95;54164044.32;28204064.58;3
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS;MG;160617920.02;53539306.67;29928718.64;3
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;159984824.27;53328274.76;26687808.64;3
ASSOCIAÇÃO PADRE ALBINO SAÚDE;SP;157700309.79;52566769.93;31650585.72;3
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC;SC;157657845.97;52552615.32;26569051.86;3
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI;RJ;154743072.98;51581024.33;28904676.45;3
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO;PR;152077046.45;50692348.82;27070668.69;3
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO;SP;151311274.68;50437091.56;27159837.89;3
UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;SP;150837244.99;50279081.66;26718203.73;3
SAÚDE SANTA TEREZA LTDA.;SP;150181089.83;50060363.28;26554053.77;3
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;ES;149187189.42;49729063.14;21372429.29;3
SANTA CASA DE MAUÁ SAÚDE;SP;147731706.07;49243902.02;25653428.16;3
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS;CE;146452853.01;48817617.67;24600761.74;3
OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.;SP;144260447.36;48086815.79;21591234.16;3
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;SC;144009999.89;48003333.30;24760323.31;3
UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO;PR;143395589.55;47798529.85;25562211.78;3
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA;GO;143273945.12;47757981.71;24843678.75;3
UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO;SC;141508677.94;47169559.31;25872020.92;3
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO;PR;140498701.20;46832900.40;24059890.28;3
UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO;MG;140292190.83;46764063.61;26288781.40;3
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO;GO;139854757.06;46618252.35;23985822.00;3
CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL;MS;139668881.01;46556293.67;24412399.96;3
UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;SP;139444577.39;46481525.80;21783961.04;3
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SP;138393653.11;46131217.70;25625460.04;3
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;PR;137928831.77;45976277.26;25919783.70;3
LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;DF;137397484.59;45799161.53;22605394.85;3
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;RS;137189112.48;45729704.16;22285538.47;3
UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO;PA;136042176.96;45347392.32;22217947.82;3
FUNDAÇÃO DE SAÚDE ITAIGUAPY;PR;135738992.32;45246330.77;25186246.73;3
SAMI ASSISTÊNCIA MÉDICA LTDA;SP;135105053.22;45035017.74;21846865.97;3
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;MG;134638470.21;44879490.07;23921228.92;3
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA;SP;134244445.96;44748148.65;23783723.64;3
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;133749783.71;44583261.24;23391644.95;3
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO;MG;133503956.58;44501318.86;23834208.52;3
METLIFE PLANOS ODONTOLÓGICOS LTDA.;SP;132604781.91;44201593.97;22424673.70;3
GARANTIA DE SAÚDE LTDA;SP;132253115.94;44084371.98;22097915.49;3
NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA;RJ;131816169.01;43938723.00;22949038.25;3
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;130663071.93;43554357.31;23812721.27;3
UNIMED OS BANDEIRANTES COOPERATIVA DE TRABALHO MÉDICO;SP;128144955.44;42714985.15;19137563.54;3
UNIMED SAÚDE E ODONTO S.A;SP;127843897.04;42614632.35;24004438.21;3
UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;127502935.17;42500978.39;21196262.43;3
UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA;SP;127133840.98;42377946.99;22713129.29;3
UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;126246871.21;42082290.40;22603693.30;3
UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO;RJ;126162844.58;42054281.53;23741137.38;3
GOCARE PLANOS DE SAUDE LTDA;SP;125695517.48;41898505.83;17567761.12;3
IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA;SP;125375353.84;41791784.61;22180135.62;3
UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO;SP;123745396.45;41248465.48;22003850.12;3
OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A;SP;123207680.60;41069226.87;22983359.96;3
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO;MG;123046283.01;61523141.51;32406671.70;2
UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO;MG;122919756.21;40973252.07;22331271.04;3
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES;ES;122666473.39;40888824.46;20170370.57;3
UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO;SC;120665406.39;40221802.13;21190598.14;3
UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;120215116.18;40071705.39;20199500.22;3
UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;120164273.22;40054757.74;21358209.26;3
UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO;MG;120017534.83;40005844.94;20878366.08;3
VIVACOM PLANOS DE SAÚDE;GO;119386697.32;39795565.77;20723598.47;3
UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO;GO;117921845.32;39307281.77;20417977.50;3
UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS;SP;117606848.65;39202282.88;18826745.64;3
UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;117391545.01;39130515.00;22344291.18;3
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;MG;116906421.07;38968807.02;21263188.64;3
UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;SP;113967236.26;37989078.75;19632553.53;3
PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;SE;113782654.12;37927551.37;20364674.54;3
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;SP;112454503.39;37484834.46;20416157.51;3
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;SP;112422448.87;37474149.62;17278835.39;3
SULMED - ASSISTÊNCIA MÉDICA LTDA;RS;111230671.76;37076890.59;20115872.13;3
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.;AL;110856960.73;36952320.24;18658674.00;3
UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;SC;109334515.01;36444838.34;18502305.67;3
PARANA ASSISTENCIA MEDICA LTDA;PR;109267670.24;36422556.75;19948586.97;3
FUNDACAO LEONOR DE BARROS CAMARGO;SP;108985730.80;36328576.93;19914617.30;3
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE;RN;108947009.16;36315669.72;18678765.18;3
ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;RJ;107218871.94;35739623.98;6557168.35;3
UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO .;PR;106889068.25;35629689.42;20565367.89;3
MATÃO CLINICAS & AMHMA SAÚDE LTDA;SP;106496175.90;35498725.30;17802932.61;3
UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO;SP;106418946.51;35472982.17;17780880.38;3
UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;SP;106102763.34;35367587.78;19103391.36;3
UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA;MG;105752643.41;35250881.14;17621424.07;3
UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO;SP;105498786.47;35166262.16;18690010.25;3
TEMPO MED PLANO DE SAUDE LTDA;SC;105030125.31;35010041.77;21975288.04;3
UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO;PR;104747411.56;34915803.85;19119460.12;3
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO;MG;104700196.46;34900065.49;18853609.97;3
BEST SENIOR OPERADORA DE SAÚDE LTDA;ES;104629654.13;34876551.38;22336158.70;3
UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;CE;103332531.79;34444177.26;18495666.76;3
UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;RJ;102442705.88;34147568.63;18871274.93;3
HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;PI;102401803.71;34133934.57;18065403.08;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;SP;102305447.27;11367271.92;10497455.90;9
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ;PR;102229425.85;34076475.28;19711853.27;3
UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;102217995.45;34072665.15;17479871.29;3
UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO;RJ;102144091.75;34048030.58;17072757.55;3
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC;DF;101954956.90;33984985.63;14602953.35;3
UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO;MG;100477134.36;33492378.12;17833358.84;3
UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO;SC;99483453.45;33161151.15;17708804.16;3
AMHA SAUDE S/A;SP;99309018.54;33103006.18;16634151.52;3
SUL AMÉRICA ODONTOLÓGICO S/A;SP;98848719.70;32949573.23;16678401.46;3
AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;SP;98645767.39;32881922.46;25992624.73;3
SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA;SP;98229934.58;32743311.53;17678347.79;3
UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;98128852.20;32709617.40;13195840.89;3
UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;SC;98065819.70;32688606.57;16138276.24;3
SISTEMAS E PLANOS DE SAÚDE LTDA.;SP;97829993.22;32609997.74;16518040.08;3
INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM;RS;97421282.10;32473760.70;19434951.57;3
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;BA;96428559.75;32142853.25;16115874.74;3
UNIMED COSTA VERDE RJ;RJ;95284691.20;31761563.73;15223236.00;3
ASSOCIAÇÃO DE SAÚDE DO VALE;SC;94716136.26;31572045.42;17718253.02;3
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO;PE;94716086.22;31572028.74;17337494.58;3
UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;94388331.58;31462777.19;16149796.12;3
UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO;MG;93939103.67;31313034.56;15479711.91;3
SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA;RJ;92907481.17;30969160.39;16002046.43;3
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;SP;92453998.43;30817999.48;18081251.59;3
UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;92021923.75;30673974.58;15359121.45;3
FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;MG;91951231.91;30650410.64;15571998.40;3
SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA;PE;91717788.82;30572596.27;16114296.61;3
ASSOCIAÇÃO SÃO LUIZ SAÚDE;SP;90961872.43;30320624.14;14398749.07;3
DENTAL UNI - COOPERATIVA ODONTOLÓGICA;PR;87713379.45;29237793.15;15357008.94;3
UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;MG;87554988.86;29184996.29;14970768.05;3
PRONTOMED PLANOS DE SAÚDE LTDA;MG;87551007.61;29183669.20;15666449.90;3
IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO;SP;87206019.11;29068673.04;15287573.07;3
UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;86998586.41;28999528.80;14455308.57;3
ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;RJ;85860669.92;28620223.31;16879237.34;3
PLANO DE SAUDE ASES LTDA.;RJ;85759484.04;28586494.68;14636200.34;3
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;SC;85630265.58;28543421.86;14348338.65;3
AMAZÔNIA PLANOS DE SAÚDE LTDA;PA;85629234.85;28543078.28;15311424.87;3
PLADISA PLANOS DE SAÚDE SA;SC;84984001.92;28328000.64;14783945.66;3
UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO;MG;84880229.89;28293409.96;14998121.65;3
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF;PA;84495460.48;28165153.49;11870303.58;3
UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;RJ;84464055.56;28154685.19;15868049.70;3
UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO;SP;84233327.78;28077775.93;14085383.52;3
SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;SP;83073238.32;27691079.44;14996473.89;3
UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.;RS;82686554.04;27562184.68;14787479.34;3
LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA.;SP;81527646.44;27175882.15;12312662.78;3
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS;MG;79026822.81;26342274.27;13735759.54;3
UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO;MT;79021420.70;26340473.57;12835140.23;3
ANAFE SAUDE;GO;78977396.93;26325798.98;13088492.29;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;SP;78907084.91;26302361.64;13687094.38;3
ÚNICA ASSISTENCIA MEDICA LTDA;SP;78806145.02;26268715.01;13669164.07;3
VITA ASSISTÊNCIA A SAÚDE LTDA.;MG;78348700.93;26116233.64;20737275.79;3
UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO;SP;77492133.89;25830711.30;14208551.68;3
UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;76841890.05;25613963.35;13911699.52;3
UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO;SP;76774806.39;25591602.13;13551298.09;3
MAIS SAÚDE PLANO DE SAÚDE LTDA;GO;76217591.93;25405863.98;14236071.71;3
UNITY SERVIÇOS INTEGRADOS DE SAÚDE LTDA.;DF;75011392.14;25003797.38;14939302.14;3
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO;PR;74895743.49;24965247.83;13590726.52;3
UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO;SP;74406990.50;24802330.17;12870468.30;3
CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;RS;74177108.39;24725702.80;14299425.11;3
GS PLANO GLOBAL DE SAÚDE LTDA;RJ;73831874.42;24610624.81;13387170.44;3
SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA.;SP;73641409.04;24547136.35;14916541.95;3
IRMANDADE DE MISERICORDIA DE PORTO FERREIRA;SP;73580516.45;24526838.82;13732525.10;3
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO;RJ;72109876.38;24036625.46;13490571.39;3
ASSOCIAÇÃO SAÚDE SÃO JOSÉ;SC;71958987.79;23986329.26;13240630.64;3
UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;MG;71588769.72;23862923.24;12803015.18;3
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP;PB;71175235.41;23725078.47;12253463.11;3
UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO;SP;70890921.92;23630307.31;12245237.22;3
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA;TO;70435815.93;23478605.31;12283400.34;3
UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO;SP;68765195.69;22921731.90;12043256.21;3
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA;SP;68030914.97;22676971.66;11702779.60;3
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE;PR;67886179.34;22628726.45;11763233.52;3
UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO;SP;67883564.59;22627854.86;11145890.75;3
UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO;SP;67079098.93;22359699.64;10879616.71;3
UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO;SP;67037113.38;22345704.46;12463197.20;3
UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO;SP;65661406.08;21887135.36;12173892.74;3
UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;65508638.86;21836212.95;11369776.39;3
CONFERÊNCIA SÃO JOSÉ DO AVAÍ;RJ;65490117.95;21830039.32;13337735.54;3
UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO;MG;65271092.82;21757030.94;11462642.46;3
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;SC;65083926.66;21694642.22;12691929.00;3
PLANO ODONTOLÓGICO DENTALVIDAS LTDA.;SP;64954669.52;21651556.51;12121348.38;3
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;GO;64518427.29;21506142.43;11746717.97;3
UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO;SP;64382051.11;21460683.70;12394365.51;3
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;PR;63351035.05;21117011.68;10442902.19;3
INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA;SP;63321496.95;21107165.65;11944468.99;3
CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;PE;62544097.84;20848032.61;11430945.83;3
UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO;GO;60811192.78;20270397.59;10900657.03;3
OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA;MS;60721988.30;20240662.77;10056974.16;3
UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO;SP;60187609.06;20062536.35;10874332.14;3
UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO;MG;59687239.53;19895746.51;11196583.16;3
UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO;MG;58579771.86;19526590.62;9502802.11;3
UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;58282627.51;19427542.50;10799553.84;3
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;MG;57362803.98;19120934.66;10257168.42;3
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;RJ;56985059.21;18995019.74;9371770.93;3
UNIMED REGIONAL DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO;MS;56269306.56;18756435.52;10402426.98;3
UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA;RO;56190801.65;18730267.22;13356742.91;3
UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI;PR;55649898.73;18549966.24;9833227.53;3
UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO;PR;55302956.44;18434318.81;9501286.76;3
UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;55299156.10;18433052.03;9288688.96;3
BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.;SP;54699117.74;18233039.25;10121346.49;3
UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;54598843.93;18199614.64;9556849.01;3
UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA;MG;54380598.07;18126866.02;10333339.53;3
POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA;PR;53016062.97;17672020.99;9642301.22;3
UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO;TO;52843323.22;17614441.07;8914130.20;3
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;MG;52789470.56;17596490.19;8999571.70;3
PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A;SP;52188398.03;17396132.68;8742385.81;3
UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.;RS;52123502.82;17374500.94;10094170.28;3
SUL AMÉRICA PARANÁ CLÍNICAS SERVIÇOS DE SAÚDE S.A.;SP;51633802.49;17211267.50;14087501.24;3
UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA;MG;51489885.48;17163295.16;8296746.96;3
UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO;SP;51389873.77;17129957.92;9307512.54;3
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL;RS;51365823.02;17121941.01;10212938.32;3
UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;51257150.61;17085716.87;9071994.89;3
SF SISTEMAS DE SAÚDE LTDA;SP;51102054.63;17034018.21;10397248.98;3
UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;49409109.46;16469703.15;10239124.04;3
UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALHO MÉDICO;SP;48149790.11;16049930.04;8463321.36;3
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS;SP;48139345.76;16046448.59;8475764.99;3
UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO;MG;48031649.71;16010549.90;8603002.52;3
TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA;BA;47359676.28;15786558.76;9422364.73;3
SBC SAÚDE LTDA.;SP;47048836.47;15682945.49;7652003.83;3
SOCIEDADE BENEFICENTE DEZOITO DE JULHO;MG;46916416.98;15638805.66;8296513.00;3
UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO;SP;46603988.88;15534662.96;8128893.98;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS);SP;46304852.06;15434950.69;7909288.49;3
PLAMER PLANO MEDICO RESENDE LTDA;RJ;46111884.69;15370628.23;6974725.84;3
UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;SP;45601533.47;15200511.16;7919299.06;3
FILOSANITAS SAUDE LTDA;SP;45263251.89;15087750.63;8439352.67;3
